Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Blumenauer	Earl		P	OR03	2021	3/5/2021	20018338
Hon.	Blumenauer	Earl		P	OR03	2021	4/2/2021	20018506
Hon.	Blumenauer	Earl		P	OR03	2021	5/4/2021	20018685
Hon.	Blumenauer	Earl		P	OR03	2021	5/27/2021	20018812
Hon.	Blumenauer	Earl		P	OR03	2021	5/28/2021	20018819
Hon.	Blumenauer	Earl		P	OR03	2021	6/9/2021	20018890
Hon.	Blumenauer	Earl		P	OR03	2021	7/5/2021	20019026
Hon.	Blumenauer	Earl		P	OR03	2021	8/2/2021	20019221
Hon.	Blumenauer	Earl		P	OR03	2021	8/20/2021	20019364
Hon.	Blumenauer	Earl		P	OR03	2021	9/7/2021	20019438
Hon.	Blumenauer	Earl		P	OR03	2021	10/5/2021	20019580
Hon.	Blumenauer	Earl		P	OR03	2021	10/12/2021	20019618
Hon.	Blumenauer	Earl		P	OR03	2021	10/12/2021	20019619
	Bohannan	Christina		C	IA02	2021	10/18/2021	10043890
	Borghese	Rene		C	NC04	2021	5/12/2021	10040302
Mr.	Brelsford	Gregg Bowyer		C	AK00	2021	10/5/2021	10041384
Mr.	Brelsford	Gregg Bowyer		X	AK00	2021	7/19/2021	30014983
Hon.	Brindisi	Anthony		C	NY22	2021	2/10/2021	10039525
Ms.	Brooks	Linda Susan		A	FL02	2021	5/6/2021	8218013
Ms.	Brooks	Linda Susan		C	FL02	2021	4/30/2021	10040117
Ms.	Brooks	Linda Susan		C	FL02	2021	5/3/2021	8218012
Hon.	Brooks	Mo		P	AL05	2021	1/26/2021	20018077
Hon.	Brooks	Mo		P	AL05	2021	2/12/2021	20018204
Hon.	Brooks	Mo		P	AL05	2021	2/16/2021	20018223
Hon.	Brooks	Mo		P	AL05	2021	4/20/2021	20018605
Hon.	Brooks	Mo		P	AL05	2021	5/28/2021	20018822
Hon.	Brooks	Mo		P	AL05	2021	7/10/2021	20019066
Hon.	Brooks	Mo		P	AL05	2021	8/6/2021	20019249
Hon.	Brooks	Mo		P	AL05	2021	10/14/2021	20019626
	Brooks	Raymond N.		C	MS04	2021	5/29/2021	10040650
Hon.	Brooks	Susan W.		T	IN05	2021	5/4/2021	10039600
	Brotschol	Hillery		C	NJ11	2021	5/15/2021	10039578
Dr.	Broun	Paul C.		C	GA10	2021	5/8/2021	10040271
	Brown	Jesse		C	MA09	2021	10/1/2021	10042683
	Brown	Mary Kathleen		C	TX13	2021	9/9/2021	8218331
	Brown	Mary Kathleen		X	TX13	2021	6/17/2021	30014936
	Brown	Nathan K.		C	CA16	2021	8/31/2021	10043489
	Bruce	Kalena		X	MO04	2021	9/21/2021	30015084
Hon.	Buchanan	Vern		P	FL16	2021	1/18/2021	20018041
Hon.	Buchanan	Vern		P	FL16	2021	2/25/2021	20018280
Hon.	Buchanan	Vern		P	FL16	2021	4/28/2021	20018648
Hon.	Buchanan	Vern		P	FL16	2021	6/2/2021	20018836
Hon.	Buchanan	Vern		P	FL16	2021	8/9/2021	20019269
Hon.	Buck	Kenneth R.		P	CO04	2021	10/17/2021	20019641
	Budzinski	Nikki		C	IL13	2021	10/20/2021	10043893
	Buerger	Colin		X	CO03	2021	9/13/2021	30015082
	Buerger	Colin		X	CO03	2021	10/18/2021	30015118
	Buford	James R.		C	TX06	2021	9/14/2021	10043738
	Burau	Justin		D	IL06	2021	4/29/2021	40003169
	Burks	Taylor		X	MO04	2021	8/3/2021	30014994
	Burlison	Eric		X	MO07	2021	10/5/2021	30015106
	Burnett	Debora Lynn		D	CO03	2021	6/7/2021	40003214
Mr.	Burns	Robert Andrew Mr		C	NH00	2021	9/27/2021	10043808
	Burton	Daniel Leroy	Jr.	C	PA00	2021	5/11/2021	10040226
Hon.	Bustos	Cheri		P	IL17	2021	8/3/2021	20019001
	Buttar	Shahid		C	CA12	2021	5/17/2021	10040448
Hon.	Byrne	Bradley		T	AL01	2021	7/9/2021	8218151
Mr.	Cannon	Beau Alexander Ryan		C	GA11	2021	5/2/2021	10039741
Mr.	Cannon	Beau Alexander Ryan		D	GA11	2021	4/29/2021	8218004
	Caraveo	Yadira		X	CO08	2021	10/7/2021	8218389
	Carey	Jan		C	NC11	2021	6/16/2021	10040466
	Carey	Jan		X	NC11	2021	6/1/2021	30014922
	Carey	Mike		A	OH15	2021	8/3/2021	10041252
	Carey	Mike		C	OH15	2021	7/2/2021	10040829
	Carey	Mike		X	OH15	2021	6/15/2021	30014953
	Carra	Stephen		C	MI06	2021	6/10/2021	10040876
	Carson	Paulette		C	TX08	2021	8/11/2021	10042769
Hon.	Carter	Earl Leroy		P	GA01	2021	5/10/2021	20018712
Hon.	Carter	Earl Leroy		P	GA01	2021	5/12/2021	20018726
	Cartwright	Nicholas		C	AR02	2021	7/31/2021	10041593
Hon.	Case	Ed		P	HI01	2021	5/9/2021	20018706
Hon.	Case	Ed		P	HI01	2021	7/25/2021	20019152
Ms.	Casey	Sandy		C	TN03	2021	10/7/2021	10043797
	Castelli	Matt		X	NY21	2021	10/5/2021	30015105
Hon.	Castor	Kathy		P	FL14	2021	1/4/2021	20017966
Hon.	Castor	Kathy		P	FL14	2021	2/18/2021	20018237
Hon.	Castor	Kathy		P	FL14	2021	4/14/2021	20018576
Hon.	Castor	Kathy		P	FL14	2021	6/14/2021	20018921
Hon.	Castor	Kathy		P	FL14	2021	7/27/2021	20019168
Hon.	Castor	Kathy		P	FL14	2021	7/29/2021	20019181
	Castorani	John		D	VA07	2021	4/28/2021	40003167
	Catala	Ryan Joshua		C	TX12	2021	10/1/2021	10043830
	Cavagna	Joseph		C	FL07	2021	7/19/2021	10041566
Hon.	Cawthorn	David Madison		P	NC11	2021	10/17/2021	20019640
Hon.	Chabot	Steve		P	OH01	2021	7/28/2021	8218196
Mr.	Chaires	Justin Raphael		C	NY20	2021	5/16/2021	10040487
	Chan	Sea		D	WA09	2021	10/25/2021	40003265
	Chapman	John		C	SC06	2021	5/24/2021	10040633
	Chavez-Deremer	Lori		C	OR05	2021	10/15/2021	10043820
	Chen	Jay		C	CA39	2021	8/13/2021	10039568
	Chen	Jay		X	CA39	2021	6/1/2021	30014918
	Chen	Jay		X	CA39	2021	6/15/2021	30014956
	Chess	Steven		C	FL22	2021	8/18/2021	8218300
	Childress	Earl		X	MO01	2021	6/2/2021	8218064
Mrs.	Christophe	Sandra		C	LA05	2021	3/16/2021	10039638
	Chuba	Jon		C	FL05	2021	6/5/2021	10040796
	Ciscomani	Juan		C	AZ02	2021	10/1/2021	10043781
Hon.	Cisneros	Gilbert		P	CA39	2021	1/11/2021	20017992
Hon.	Cisneros	Gilbert		T	CA39	2021	4/27/2021	10039421
Hon.	Cisneros	Gilbert		X	CA39	2021	1/11/2021	30011630
	Clancy	Mike		X	VA11	2021	10/18/2021	30015120
Hon.	Clark	Katherine M.		P	MA05	2021	3/2/2021	20018307
Hon.	Clark	Katherine M.		P	MA05	2021	7/8/2021	20019054
Hon.	Clark	Katherine M.		P	MA05	2021	8/4/2021	20019234
Hon.	Clark	Katherine M.		P	MA05	2021	8/15/2021	20019340
Hon.	Clark	Katherine M.		P	MA05	2021	10/14/2021	20019623
	Clay	Mark Daniel		C	GA14	2021	5/23/2021	10040612
Hon.	Clay	Wm. Lacy		T	MO01	2021	4/2/2021	8217923
Hon.	Clay	Wm. Lacy		X	MO01	2021	4/15/2021	8217978
Ms.	Cleveland	Shenita Lache		A	TX30	2021	6/25/2021	10041071
Ms.	Cleveland	Shenita Lache		C	TX30	2021	6/25/2021	10041069
	Coatney	David Adam		D	NC11	2021	8/15/2021	40003241
	Coatney	David Adam		D	NC11	2021	8/16/2021	8218319
	Cole	Jahmal		C	IL01	2021	6/14/2021	10039772
	Cole	Jahmal		X	IL01	2021	5/18/2021	30014909
Hon.	Collins	Doug		T	GA09	2021	3/1/2021	10039511
	Collins	Kina Isis		C	IL07	2021	9/27/2021	10043742
	Collins	Michael A.	Jr	C	GA10	2021	9/16/2021	8218333
	Collins	Michael A.	Jr	X	GA10	2021	6/15/2021	30014957
	Collins	Shawn		X	CA45	2021	8/23/2021	30015048
Mr.	Colombe	Michael Christopher		C	CO05	2021	10/23/2021	10043930
	Colombo	Malcolm Thomas		C	MD03	2021	5/13/2021	10040381
	Combs	Jack Lewis	Jr.	C	VA05	2021	9/19/2021	10041064
	Combs	Jack Lewis	Jr.	X	VA05	2021	6/29/2021	30014971
	Compton	William Dakota		C	KY02	2021	4/21/2021	8217989
Hon.	Conaway	K. Michael		P	TX11	2021	1/22/2021	20018064
Hon.	Conaway	K. Michael		P	TX11	2021	3/25/2021	20018460
Hon.	Conaway	K. Michael		T	TX11	2021	4/30/2021	10039451
Hon.	Conaway	K. Michael		X	TX11	2021	1/21/2021	30011634
	Conerly	Chad		C	LA05	2021	2/16/2021	10039543
	Conforti	Niki		C	IL06	2021	10/19/2021	10041500
	Conforti	Niki		X	IL06	2021	7/19/2021	30014990
	Conner	Lateefah B.		A	GA14	2021	5/19/2021	10040561
	Conner	Lateefah B.		C	GA14	2021	5/15/2021	10040473
Hon.	Connolly	Gerald E.		P	VA11	2021	1/27/2021	20018084
Hon.	Connolly	Gerald E.		P	VA11	2021	5/5/2021	20018689
Hon.	Connolly	Gerald E.		P	VA11	2021	9/5/2021	20019428
	Conole	Francis		X	NY24	2021	9/15/2021	8218340
	Conoly	Henry		C	PA01	2021	7/24/2021	10041761
	Contreras	Maya		C	NY12	2021	7/30/2021	10042063
	Cota	Jackie S.		D	CA15	2021	5/11/2021	40003178
Mr.	Cowen	Martin Lindsey Mr	III	D	GA13	2021	5/5/2021	40003173
Mr.	Cox	Terrence John (Tj)		X	CA21	2021	1/26/2021	30011638
Mr.	Cox	TJ John (Tj)		T	CA21	2021	5/4/2021	10039471
	Craft	Frank S.		D	FL13	2021	4/30/2021	40003170
	Crain	Mark Brewer		D	TN09	2021	3/11/2021	40003136
	Crane	Eli		C	AZ01	2021	10/1/2021	10042675
	Crane	Eli		X	AZ01	2021	8/23/2021	30015053
Hon.	Crenshaw	Daniel		P	TX02	2021	3/24/2021	20018373
	Croom	George		D	MD03	2021	10/8/2021	40003260
	Culp	Loren		C	WA04	2021	5/14/2021	10040125
Hon.	Cunningham	Joe		T	SC01	2021	2/21/2021	10039501
Hon.	Cunningham	Joe		X	SC01	2021	2/2/2021	30011643
	Curry	David		C	GA10	2021	7/21/2021	10041501
Hon.	Curtis	John		P	UT03	2021	2/4/2021	20018140
Hon.	Curtis	John		P	UT03	2021	7/6/2021	20019020
Hon.	Curtis	John		P	UT03	2021	8/6/2021	20019228
Hon.	Curtis	John		P	UT03	2021	9/2/2021	20019415
Hon.	Curtis	John		P	UT03	2021	9/17/2021	20019492
Mr.	D'Agostino	Nicholas A.		C	NJ05	2021	7/30/2021	10039747
Mr.	D'Agostino	Nicholas A.		D	NJ05	2021	4/20/2021	40003159
	Dale	Terry		C	CA45	2021	8/12/2021	10043035
	Dalsimer	Ally		C	VA11	2021	5/12/2021	10040363
	Daniels	Bret		D	CA07	2021	9/22/2021	8218364
	D'Arrigo	Melanie		C	NY03	2021	6/27/2021	10041094
Hon.	Davidson	Warren		P	OH08	2021	3/25/2021	20017743
	Davis	Angela Grace		D	GA11	2021	8/4/2021	40003232
	Davis	Earl William	II	D	TX04	2021	7/12/2021	40003225
	Davis	Morris D Col		C	NC11	2021	3/25/2021	10039666
Hon.	Davis	Susan A.		T	CA53	2021	1/26/2021	10039440
Mr.	Davis	Tashi Kimandus		C	MD07	2021	9/15/2021	10043752
	Davis	Wendy		X	GA14	2021	7/12/2021	30014977
	Daza-Fernandez	Antonio Miguel		C	GA11	2021	5/15/2021	10040361
	De La Cruz Hernandez	Monica		C	TX15	2021	8/13/2021	10040370
	De La Cruz Hernandez	Monica		X	TX15	2021	5/18/2021	30014906
	Dean	Katie		C	NC11	2021	5/11/2021	10040303
	Degroot	Paul		C	NJ11	2021	10/22/2021	10043911
	DeHart	Vaughan "Brandon" Brendan		D	AZ04	2021	5/12/2021	40003179
Hon.	DelBene	Suzan K.		P	WA01	2021	1/13/2021	20017962
Hon.	DelBene	Suzan K.		P	WA01	2021	2/16/2021	20018128
Hon.	DelBene	Suzan K.		P	WA01	2021	3/17/2021	20018303
Hon.	DelBene	Suzan K.		P	WA01	2021	4/13/2021	20018499
Hon.	DelBene	Suzan K.		P	WA01	2021	5/14/2021	20018681
Hon.	DelBene	Suzan K.		P	WA01	2021	6/12/2021	20018838
Hon.	DelBene	Suzan K.		P	WA01	2021	7/19/2021	20019016
Hon.	DelBene	Suzan K.		P	WA01	2021	8/6/2021	20019216
Hon.	DelBene	Suzan K.		P	WA01	2021	9/15/2021	20019414
Hon.	DelBene	Suzan K.		P	WA01	2021	10/15/2021	20019571
Hon.	DelBene	Suzan K.		P	WA01	2021	10/29/2021	20019708
	Dellicker	Kevin		C	PA07	2021	7/29/2021	10041675
	Deluzio	Christopher		X	PA17	2021	9/15/2021	8218341
	Dennison	Jeremy Todd		C	MO08	2021	5/2/2021	10040133
	Denotter	Matthew		X	MI11	2021	10/5/2021	30015103
	Depaolis	Giuliano Giovanni		D	CA27	2021	5/11/2021	8218024
	Desvignes	Elfreda		C	GA06	2021	10/25/2021	10043935
	Diamond	Ben		C	FL13	2021	9/7/2021	10040805
	Diamond	Ben		X	FL13	2021	6/15/2021	30014952
Hon.	Diaz-Balart	Mario		P	FL25	2021	5/18/2021	20018764
Dr.	Dickinson	Michael Robert		C	VA04	2021	9/20/2021	10043775
	Diemer	Matthew		C	OH16	2021	5/10/2021	10039775
	Dilizia	Anthony Adelino Mr		C	CT02	2021	8/8/2021	10042646
Hon.	Dingell	Debbie		P	MI12	2021	1/13/2021	20017983
Hon.	Dingell	Debbie		P	MI12	2021	2/1/2021	20018112
Hon.	Dingell	Debbie		P	MI12	2021	3/10/2021	20018361
Hon.	Dingell	Debbie		P	MI12	2021	3/25/2021	20018459
Hon.	Dingell	Debbie		P	MI12	2021	4/1/2021	20018488
Hon.	Dingell	Debbie		P	MI12	2021	5/3/2021	20018643
Hon.	Dingell	Debbie		P	MI12	2021	6/15/2021	20018918
Hon.	Dingell	Debbie		P	MI12	2021	6/29/2021	20018962
Hon.	Dingell	Debbie		P	MI12	2021	10/11/2021	20019591
	Disanto	Delina		C	AZ04	2021	3/30/2021	10039687
	Dixon	Gregg Marcel		C	SC06	2021	10/8/2021	10043824
Hon.	Doggett	Lloyd		P	TX35	2021	1/6/2021	20017977
Hon.	Doggett	Lloyd		P	TX35	2021	3/8/2021	20018349
Hon.	Doggett	Lloyd		P	TX35	2021	4/7/2021	20018533
Hon.	Doggett	Lloyd		P	TX35	2021	5/6/2021	20018695
Hon.	Doggett	Lloyd		P	TX35	2021	6/30/2021	20019003
Hon.	Doggett	Lloyd		P	TX35	2021	7/6/2021	20019031
Hon.	Doggett	Lloyd		P	TX35	2021	8/13/2021	20019318
Hon.	Doggett	Lloyd		P	TX35	2021	9/7/2021	20019437
Hon.	Doggett	Lloyd		P	TX35	2021	10/7/2021	20019598
	Donovan	Kerry		C	CO03	2021	7/14/2021	10039767
	Donovan	Kerry		X	CO03	2021	5/18/2021	30014907
	Donovan	Kerry		X	CO03	2021	6/15/2021	30014958
Mr.	Dorilas	Rod		C	FL21	2021	10/18/2021	10043903
Mr.	Dorilas	Rod		X	FL21	2021	6/2/2021	8218065
	Dowell	Jeremy J.		D	CO05	2021	5/17/2021	40003199
	Dowling	Elvin		C	FL20	2021	7/14/2021	10041448
	Dubose	Bobby B.		C	FL20	2021	5/20/2021	8218044
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2021	1/15/2021	20018007
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2021	3/24/2021	20018369
Mr.	Dunn	Tom W		C	SC07	2021	5/4/2021	10040177
	Earls	Harold		A	GA06	2021	8/17/2021	10043516
	Earls	Harold		C	GA06	2021	8/13/2021	10040148
	Earls	Harold		X	GA06	2021	5/11/2021	30014897
	Edmonds	Ruth		C	OH15	2021	6/8/2021	10040809
	Egan	Michael C.		C	TX06	2021	4/2/2021	10039706
	Ehr	Phillip Charles		A	FL01	2021	5/14/2021	10040417
	Ehr	Phillip Charles		C	FL01	2021	5/14/2021	10039731
	Eldon	Anthony W.		D	FL14	2021	1/28/2021	8217827
	Ellis	Jameson		D	TX08	2021	6/21/2021	40003216
Ms.	Ellis	Theresa Coates		C	VA10	2021	9/1/2021	10043641
	Ellzey	John Kevin	Sr	A	TX06	2021	6/24/2021	10041054
	Ellzey	John Kevin	Sr	C	TX06	2021	4/2/2021	10039702
	Engel	Kirsten		C	AZ02	2021	6/3/2021	10040472
	Engel	Kirsten		X	AZ02	2021	6/1/2021	30014926
	Epperson	Dalila		C	CA20	2021	9/16/2021	10043676
	Evans	Charles		C	NC08	2021	6/29/2021	10040672
Hon.	Evans	Dwight		P	PA03	2021	2/9/2021	20018181
Hon.	Evans	Dwight		P	PA03	2021	7/9/2021	20019061
	Evans	Jake		C	GA06	2021	10/1/2021	10043829
Mr.	Evans	Shannon Scott		D	AK00	2021	5/18/2021	40003200
	Ezell	Walter Michael		C	MS04	2021	6/24/2021	10040967
	Faheem	Mohammed		C	IL08	2021	10/3/2021	10043833
Hon.	Fallon	Patrick		P	TX04	2021	6/17/2021	20018760
Hon.	Fallon	Patrick		P	TX04	2021	7/2/2021	20018998
Hon.	Fallon	Patrick		P	TX04	2021	8/18/2021	20019260
Hon.	Fallon	Patrick		P	TX04	2021	9/3/2021	20019418
Hon.	Fallon	Patrick		P	TX04	2021	10/5/2021	20019582
	Fanelli	Steve		C	PA06	2021	8/23/2021	10042261
	Faust	Kyle Alexander		D	CO07	2021	5/20/2021	8218051
Dr.	Feig	Anthony Dean		C	MI04	2021	5/7/2021	10040248
Dr.	Feit	Keith		C	FL21	2021	8/23/2021	8218316
Dr.	Feit	Keith		D	FL21	2021	4/28/2021	8218005
Dr.	Feit	Keith		X	FL21	2021	6/2/2021	8218066
	Fernandez	Francisco		W	NM01	2021	5/5/2021	7811
Hon.	Finkenauer	Abby		T	IA01	2021	1/29/2021	10039472
	Fix	Jeffrey M.		W	OH15	2021	6/1/2021	7816
	Flannery	Bryan		W	OH11	2021	5/17/2021	7813
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2021	3/3/2021	8217884
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2021	5/12/2021	8218027
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2021	8/17/2021	8218297
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2021	10/1/2021	8218379
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2021	10/7/2021	8218380
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2021	10/13/2021	8218397
	Fleming	Bridget		C	NY01	2021	9/26/2021	10043772
Hon.	Flores	Bill		T	TX17	2021	5/4/2021	8218009
Hon.	Flores	Bill		X	TX17	2021	4/15/2021	8217979
	Flowers	Marcus		C	GA14	2021	5/10/2021	10040293
Hon.	Foxx	Virginia		P	NC05	2021	1/8/2021	20017967
Hon.	Foxx	Virginia		P	NC05	2021	2/1/2021	20018115
Hon.	Foxx	Virginia		P	NC05	2021	3/3/2021	20018306
Hon.	Foxx	Virginia		P	NC05	2021	4/7/2021	20018512
Hon.	Foxx	Virginia		P	NC05	2021	5/5/2021	20018670
Hon.	Foxx	Virginia		P	NC05	2021	6/3/2021	20018805
Hon.	Foxx	Virginia		P	NC05	2021	7/2/2021	20019013
Hon.	Foxx	Virginia		P	NC05	2021	8/2/2021	20019162
Hon.	Foxx	Virginia		P	NC05	2021	9/3/2021	20019412
Hon.	Foxx	Virginia		P	NC05	2021	10/4/2021	20019557
	France	Mike		C	CT02	2021	4/30/2021	10040118
Hon.	Frankel	Lois		P	FL21	2021	1/21/2021	20018050
Hon.	Frankel	Lois		P	FL21	2021	2/25/2021	20018224
Hon.	Frankel	Lois		P	FL21	2021	3/26/2021	20018420
Hon.	Frankel	Lois		P	FL21	2021	4/23/2021	20018606
Hon.	Frankel	Lois		P	FL21	2021	5/25/2021	20018768
Hon.	Frankel	Lois		P	FL21	2021	6/30/2021	20018944
Hon.	Frankel	Lois		P	FL21	2021	8/3/2021	20019173
Hon.	Frankel	Lois		P	FL21	2021	8/18/2021	20019346
Hon.	Frankel	Lois		P	FL21	2021	9/28/2021	20019512
Hon.	Frankel	Lois		P	FL21	2021	11/1/2021	20019707
Hon.	Franklin	Scott		P	FL15	2021	5/20/2021	8218040
Hon.	Franklin	Scott		P	FL15	2021	6/1/2021	20018831
Hon.	Franklin	Scott		P	FL15	2021	6/8/2021	8218078
Hon.	Franklin	Scott		P	FL15	2021	6/15/2021	8218110
Hon.	Franklin	Scott		P	FL15	2021	6/15/2021	8218111
Hon.	Franklin	Scott		P	FL15	2021	10/20/2021	8218405
Mr.	Franklin	Scott		P	FL15	2021	3/26/2021	20018466
	Franzese	Daniel John		C	FL21	2021	6/18/2021	10040774
	Franzese	Daniel John		X	FL21	2021	6/22/2021	30014960
